,Unnamed: 0,incl,azim,ft,mt,Y,X,lon,lat
0,0,0.0,0.0,-290.0,88.392,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
1,1,0.0,0.0,0.0,0.0,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
2,2,0.0,0.0,10.0,-3.048,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
3,3,0.0,0.0,350.0,-106.68,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
4,4,0.0,0.0,1250.0,-381.0,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
5,5,0.0,0.0,2230.0,-679.704,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
6,6,0.0,0.0,2570.0,-783.336,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
7,7,0.0,0.0,2930.0,-893.064,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
8,8,0.0,0.0,3030.0,-923.544,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
9,9,0.0,0.0,3505.0,-1068.324,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
10,10,0.0,0.0,3605.0,-1098.804,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
11,11,0.0,0.0,5920.0,-1804.416,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
12,12,0.0,0.0,8120.0,-2474.976,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
13,13,0.0,0.0,9810.0,-2990.088,1306254.61,1024388.9,-73.85660853203365,7.365511887633025
14,14,1.427,35.18,9909.99,-3020.564952,1306254.92,1024389.119,-73.85660654709105,7.365514689716016
15,15,2.283,35.18,9970.0,-3038.856,1306255.404,1024389.46,-73.85660345637544,7.365519064585175
16,16,3.567,35.18,10059.84,-3066.239232,1306256.548,1024390.266,-73.85659615104738,7.365529405184913
17,17,5.707,35.18,10209.34,-3111.806832,1306259.569,1024392.395,-73.85657685446941,7.365556711957787
18,18,7.847,35.18,10358.28,-3157.203744,1306263.978,1024395.504,-73.85654867549087,7.365596564831607
19,19,9.987,35.18,10506.46,-3202.369008,1306269.77,1024399.586,-73.85651167753068,7.365648918625118
20,20,12.127,35.18,10653.67,-3247.238616,1306276.936,1024404.638,-73.85646588779487,7.365713691970064
21,21,14.267,35.18,10799.7,-3291.74856,1306285.467,1024410.651,-73.85641138783203,7.365790803524461
22,22,16.407,35.18,10944.35,-3335.83788,1306295.351,1024417.618,-73.85634824108814,7.365880144810446
23,23,18.0,35.18,11051.0,-3368.3448,1306303.577,1024423.417,-73.85629568072167,7.3659544994556025
24,24,18.0,35.18,11087.47,-3379.460856,1306306.529,1024425.498,-73.8562768191681,7.365981182521504
25,25,18.0,35.18,11170.0,-3404.616,1306313.21,1024430.207,-73.85623413820551,7.366041571939989
26,26,18.0,35.18,11230.13,-3422.943624,1306318.077,1024433.638,-73.8562030406476,7.366085564645194
27,27,18.0,35.18,11372.79,-3466.426392,1306329.625,1024441.778,-73.85612926209222,7.36618994675521
28,28,18.0,35.18,11515.45,-3509.90916,1306341.172,1024449.918,-73.85605548350644,7.366294319809419
29,29,18.0,35.18,11658.11,-3553.391928,1306352.72,1024458.058,-73.85598170488129,7.366398701892086
30,30,18.0,35.18,11760.0,-3584.448,1306360.968,1024463.872,-73.85592900843233,7.36647325534854
31,31,18.0,35.18,11800.76,-3596.871648,1306364.268,1024466.198,-73.85590792622122,7.366503083961078
32,32,18.0,35.18,11943.42,-3640.354416,1306375.816,1024474.338,-73.85583414752628,7.366607466016398
33,33,18.0,35.18,12086.08,-3683.837184,1306387.363,1024482.478,-73.85576036880093,7.366711839015904
34,34,18.0,35.18,12155.0,-3704.844,1306392.942,1024486.41,-73.8557247302142,7.366762267434861
35,35,18.0,35.18,12228.74,-3727.319952,1306398.911,1024490.618,-73.8556865900362,7.366816221043872
36,36,18.0,35.18,12320.0,-3755.136,1306406.298,1024495.825,-73.85563939517431,7.36688299190953
37,37,18.0,35.18,12371.4,-3770.80272,1306410.459,1024498.758,-73.85561281123658,7.366920603058163
38,38,18.0,35.18,12514.06,-3814.285488,1306422.006,1024506.898,-73.85553903240655,7.367024976016637
39,39,18.0,35.18,12640.0,-3852.672,1306432.201,1024514.084,-73.85547390034806,7.367117128283708
40,40,18.0,35.18,12656.72,-3857.768256,1306433.554,1024515.038,-73.85546525353715,7.367129358003573
41,41,18.0,35.18,12799.37,-3901.247976,1306445.102,1024523.177,-73.85539148369018,7.367233739981321
42,42,18.0,35.18,12942.03,-3944.730744,1306456.649,1024531.317,-73.85531770475549,7.367338112898766
43,43,18.0,35.18,13084.69,-3988.213512,1306468.197,1024539.457,-73.85524392578138,7.367442494844664
44,44,18.0,35.18,13190.0,-4020.312,1306476.721,1024545.466,-73.85518946165263,7.367519542954809
45,45,18.0,35.18,13227.35,-4031.69628,1306479.745,1024547.597,-73.8551701467724,7.367546876776883
46,46,18.0,35.18,13370.01,-4075.179048,1306491.292,1024555.737,-73.855096367733,7.367651249653284
47,47,18.0,35.18,13512.67,-4118.661816,1306502.84,1024563.877,-73.8550225886542,7.367755631558145
48,48,18.0,35.18,13570.0,-4136.136,1306507.481,1024567.149,-73.85499293199659,7.367797581362693
49,49,18.0,35.18,13655.32,-4162.141536,1306514.388,1024572.017,-73.8549488095405,7.367860013449318
50,50,18.0,35.18,13760.21,-4194.112008,1306522.878,1024578.002,-73.85489456283918,7.3679367541946785
51,51,18.0,35.18,11520.13,-3511.335624,1306318.077,1024433.638,-73.8562030406476,7.366085564645194
52,52,18.0,35.18,11554.37,-3521.771976,1306320.849,1024435.592,-73.85618533017241,7.366110620691276
53,53,22.047,35.18,11661.46,-3554.413008,1306330.571,1024442.445,-73.85612321660086,7.3661984976263355
54,54,27.372,35.18,11797.67,-3595.929816,1306346.186,1024453.452,-73.85602345234656,7.366339641232764
55,55,32.697,35.18,11927.48,-3635.495904,1306364.884,1024466.632,-73.85590399256554,7.366508651969472
56,56,38.022,35.18,12049.77,-3672.769896,1306386.502,1024481.87,-73.85576587954057,7.366704056466923
57,57,39.867,35.18,12090.19,-3685.089912,1306394.64,1024487.607,-73.85571388092941,7.366777615605685
58,58,43.347,35.18,12163.48,-3707.428704,1306410.853,1024499.036,-73.8556102915195,7.366924164410477
59,59,48.672,35.18,12267.62,-3739.170576,1306437.729,1024517.981,-73.8554385789331,7.367167095685501
60,60,53.997,35.18,12361.3,-3767.72424,1306466.897,1024538.541,-73.85525222818589,7.367430744191745
61,61,59.322,35.18,12443.71,-3792.842808,1306498.104,1024560.539,-73.85505284352111,7.367712823045891
62,62,64.647,35.18,12514.15,-3814.31292,1306531.082,1024583.785,-73.85484214700027,7.368010909793032
63,63,65.668,35.18,12526.22,-3817.991856,1306537.582,1024588.367,-73.85480061674943,7.368069663004092
64,64,65.797,35.18,12527.72,-3818.449056,1306538.411,1024588.952,-73.85479531443991,7.368077156295141
65,65,69.972,35.18,12571.99,-3831.942552,1306565.547,1024608.079,-73.8546219513376,7.368322437351829
66,66,74.942,35.18,12617.18,-3845.716464,1306601.167,1024633.188,-73.8543943683666,7.3686444047708575
67,67,79.91,35.18,12649.83,-3855.668184,1306637.628,1024658.89,-73.8541614102189,7.3689739738116815
68,68,84.878,35.18,12669.68,-3861.718464,1306674.657,1024684.991,-73.85392483524427,7.36930867684094
69,69,85.0,35.18,12670.0,-3861.816,1306675.575,1024685.638,-73.85391897094249,7.369316974589412
70,70,85.0,35.18,12682.75,-3865.7022,1306711.884,1024711.232,-73.85368699097472,7.369645169437122
71,71,85.0,35.18,12695.83,-3869.688984,1306749.111,1024737.473,-73.85344914634236,7.369981661891014
72,72,85.0,35.18,12708.9,-3873.67272,1306786.337,1024763.715,-73.85321129229429,7.37031814515593
73,73,85.0,35.18,12721.97,-3877.656456,1306823.564,1024789.956,-73.85297344693625,7.370654637325199
74,74,85.0,35.18,12735.05,-3881.64324,1306860.791,1024816.197,-73.85273560121534,7.370991129352125
75,75,85.0,35.18,12748.12,-3885.626976,1306898.018,1024842.438,-73.85249775513152,7.3713276212367
76,76,85.0,35.18,12761.19,-3889.610712,1306935.245,1024868.679,-73.85225990868481,7.371664112978904
77,77,85.0,35.18,12774.27,-3893.597496,1306972.472,1024894.921,-73.85202205281772,7.372000604574147
78,78,85.0,35.18,12787.34,-3897.581232,1307009.699,1024921.162,-73.8517842056451,7.372337096031549
79,79,85.0,35.18,12800.41,-3901.564968,1307046.926,1024947.403,-73.85154635810952,7.372673587346517
80,80,85.0,35.18,12813.49,-3905.551752,1307084.152,1024973.644,-73.85130851021553,7.373010069476918
81,81,85.0,35.18,12826.56,-3909.535488,1307121.379,1024999.885,-73.85107066195394,7.373346560506987
82,82,85.0,35.18,12839.63,-3913.519224,1307158.606,1025026.127,-73.85083280427183,7.373683051389984
83,83,85.0,35.18,12852.71,-3917.506008,1307195.833,1025052.368,-73.85059495528414,7.374019542135077
84,84,85.0,35.18,12865.78,-3921.489744,1307233.06,1025078.609,-73.85035710593336,7.374356032737647
85,85,85.0,35.18,12878.85,-3925.47348,1307270.287,1025104.85,-73.85011925621949,7.37469252319769
86,86,85.0,35.18,12891.93,-3929.460264,1307307.514,1025131.091,-73.84988140614249,7.3750290135151815
87,87,85.0,35.18,12905.0,-3933.444,1307344.74,1025157.333,-73.84964354664943,7.375365494643363
88,88,85.0,35.18,12918.07,-3937.427736,1307381.967,1025183.574,-73.84940569584613,7.375701984675693
89,89,85.0,35.18,12931.15,-3941.41452,1307419.194,1025209.815,-73.84916784467963,7.376038474565425
90,90,85.0,35.18,12944.22,-3945.398256,1307456.421,1025236.056,-73.84892999314992,7.376374964312538
91,91,85.0,35.18,12957.29,-3949.381992,1307493.648,1025262.297,-73.848692141257,7.37671145391701
92,92,85.0,35.18,12970.37,-3953.368776,1307530.875,1025288.539,-73.84845427994325,7.377047943374183
93,93,85.0,35.18,12983.44,-3957.352512,1307568.102,1025314.78,-73.8482164273238,7.3773844326933204
94,94,85.0,35.18,12996.51,-3961.336248,1307605.328,1025341.021,-73.84797857434572,7.377720912827645
95,95,85.0,35.18,13003.04,-3963.326592,1307623.903,1025354.114,-73.84785989698088,7.377888809368552
96,96,85.0,35.18,13009.59,-3965.323032,1307642.555,1025367.262,-73.84774072099967,7.37805740186138
97,97,85.0,35.18,13018.62,-3968.075376,1307668.285,1025385.399,-73.84757632361827,7.3782899712252465
