CAMPO;X;Y;prof;OPERADORA;POZOS;TOTAL_bbl;2017-1;2017-2;2017-3;2017-4;2017-5;2017-6;2017-7;2017-8;2017-9;2017-10;2017-11;2017-12;2017;2018-1;2018-2;2018-3;2018-4;2018-5;2018-6;2018-7;2018-8;2018-9;2018-10;2018-11;2018-12;2018;2019-1;2019-2;2019-3;2019-4;2019-5;2019-6;2019-7;2019-8;2019-9;2019-10;2019-11;2019-12;2019;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2020;2021-1;2021-2;2021-3;2021-4;2021-5;2021-6;2021-7;2021-8;2021-9;2021-10;2021-11;2021-12;2021
AREA TECA-COCORNA;-75;6,05283772;661;ECOPETROL S.A.;4;18783027;302624;272607;298098;281375;285706;290373;297019;;;295350;;324528;2647680;327268;292040;330658;334688;327491;306301;314652;315374;295758;;;;2844230;;;;;;365820;373614;381292;365762;445217;490283;542841;2964829;511728;426757;426860;382798;341601;323355;327603;368059;329593;397555;407653;445338;4688901;442249;433100;486985;487842;537034;477258;442301;417973;454031;457477;490047;511088;5637386
BONANZA;-73,40547381;7,47850109;1411;ECOPETROL S.A.;5;4326443;147469;135226;149034;143747;142587;120856;128632;122280;121612;123630;116524;113680;1565277;109087;90599;;59816;;72021;68672;58406;54473;58187;55029;60178;686468;57630;51712;54761;52303;50012;47172;50609;50830;53934;51779;48043;50981;619766;50954;48534;56908;54206;56733;54907;56858;56830;55193;56662;54010;56613;658408;56699;48844;54993;55025;57053;73983;105956;67541;64961;66342;65457;79670;796524
GUADUAS;-74,58443273;5,12774726;1301;ECOPETROL S.A.;1;778650;0;25190;27778;26653;25908;24732;25299;25890;24951;24886;24073;24713;280073;24251;21538;24050;23180;23075;21982;;;;;;;138076;;;;;;20478;20826;20591;19681;19832;18721;19662;139791;18956;17843;18970;18257;18464;17546;18175;18371;17357;17718;17468;18092;217217;3493;0;0;0;0;0;0;0;0;0;0;0;3493
CASABE SUR;-73,93460356;7,00788107;2303;ECOPETROL S.A.;8;8079298;172270;148490;164428;152582;152001;154685;165310;144169;127991;145979;114814;140511;1783230;147998;121741;126531;121481;147145;142485;147377;144709;143760;139620;124142;109651;1616640;130419;125952;134221;137165;142738;145829;158520;69218;120779;129277;127540;132272;1553930;141350;129377;138060;124641;132056;132575;118504;131027;131020;105624;126777;126571;1537581;110730;92772;121547;117505;115162;119480;127624;147864;154353;140570;168285;172024;1587916
CASABE;-73,92462747;7,0212922;1452;ECOPETROL S.A.;290;128031293;2418693;2204251;2427255;2223671;2312134;2288492;2294393;2492330;2422640;2401941;2267740;2360090;28113628;2329709;1971863;2292067;2172310;2217505;2087315;2091277;2117199;2093240;2172156;2250242;2378616;26173499;2088275;1722123;1916580;1799707;1934621;1840198;1832015;1571436;1469061;1731327;1871003;2118489;21894834;2170928;1978067;2257075;2116570;1981504;1920761;2033074;1994993;2004040;2137233;2095826;2265843;24955915;2299805;2063135;2312747;2074375;2248306;2200225;2262077;2290509;2227278;2335054;2280690;2299218;26893417
PENAS BLANCAS;-73,97338986;6,95800224;2292;ECOPETROL S.A.;4;4604557;26778;26792;24338;21684;39047;57552;56228;53088;40199;30230;42310;40968;459214;35146;43227;66280;80479;77265;85872;85241;91242;79023;80772;80244;90201;894992;83915;76808;88352;93129;107698;106161;127143;62734;94111;129781;110279;118802;1198912;111899;99245;106583;86620;73314;82352;88288;90709;77966;83008;75619;75710;1051314;75418;66067;73590;86790;89341;82182;85352;91638;86212;87549;88227;87758;1000124
PROVINCIA;-73,45864117;7,33690253;2662;ECOPETROL S.A.;1;673941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2508;5454;5201;6517;6714;36138;59900;46017;34355;29002;18017;33419;283242;28573;26101;28156;26679;29713;30767;59900;46017;34355;29002;18017;33419;390699
PALAGUA;-74,51085407;6,0942504;1503;ECOPETROL S.A.;5;23072930;330071;293425;325053;324063;330881;321721;319685;334243;322793;337123;302137;295211;3836406;288554;277277;317068;322908;340673;320354;338457;340826;335545;347405;348923;358580;3936570;387244;358580;397704;391671;401171;405161;397679;388399;410720;427507;433685;441788;4841309;444459;420640;434643;408457;424821;424821;434991;429912;433214;448811;423208;436374;5164351;434397;394952;450271;436515;464569;441771;441771;441771;441771;441771;441771;462964;5294294
INFANTAS;-73,76551407;6,91772056;984;ECOPETROL;163;332776193;3378462;3083692;3534337;3827192;3262904;3861016;4066231;4244466;4506238;5107412;5132617;5646633;49651200;5549016;4882104;5346201;5392813;5647747;5529323;5741068;5858915;6183703;6374379;5938601;6115170;68559040;6238325;5318627;5888345;5742733;6152638;6024920;6286515;6653888;6356677;6327657;6238333;6729980;73958638;6939493;6078354;6151102;6131175;6032406;5851020;6090174;5804083;5253384;5321548;5338763;5674426;70665928;5683874;4849631;5658909;5896219;6009571;5922708;6242936;6408518;6074573;5939700;5558757;5695991;69941387
LA CIRA;-73,7777845;6,98799572;984;ECOPETROL;372;807871685;12145855;11440329;12138668;11485517;10259502;11662013;11808084;12360996;8708349;8708349;13400094;13598285;137716040;14000255;12742484;13886026;13886026;13886026;13490527;14185170;14690493;14639462;14680109;13721166;14656907;168464651;14656908;13865302;15188141;14865963;15006321;14743695;15231299;14969109;14609438;14948739;14574612;15720620;178380147;15881299;14786945;15649248;14712322;14464381;13496021;13185728;12810828;12917674;13680886;12982987;13481735;168050054;13103495;11724832;13176196;13637367;14123487;13368298;13255123;12895985;12224186;12688538;12199184;12864102;155260793
LA SALINA;-73,519008;7,2718265;849;PETROSANTANDER;5;3833148;62419;62419;62419;62419;62419;62419;62419;62419;62419;62419;62419;62419;749028;46623;46623;46623;46623;46623;46623;46623;46623;46623;46623;46623;46623;559476;57633;57633;57633;57633;57633;57633;57633;57633;57633;57633;57633;57633;691596;67121;67121;67121;67121;67121;67121;67121;67121;67121;67121;67121;67121;805452;85633;85633;85633;85633;85633;85633;85633;85633;85633;85633;85633;85633;1027596
LLANITO ;-73,83459258;7,16327602;2258;ECOPETROL;3;1294020;73621;72538;80572;77569;81077;77858;80815;65719;72555;68562;75542;77756;904184;82461;64015;31740;13499;91513;106608;0;0;0;0;0;0;389836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LLANITO UNIFICADO;-73,82930465;7,16671719;2258;ECOPETROL;17;14385125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167452;150449;150159;158717;151241;137816;915834;150978;131317;214281;303221;322561;284402;278905;229533;194557;207657;187735;208911;2714058;313204;265413;318025;310946;321231;32'917;322168;331506;327789;416129;385293;442259;3753963;451437;409594;441214;449747;475220;539622;605869;627586;663160;698438;724270;915113;7001270
TOTAL;0;0;;0;878;1348510309;19058262,14;17764958,76;19231979,92;18626472,14;16954165,19;18921718,58;19304114,17;19905599,96;16409745,99;17305880,28;21538269,41;22684793,43;227705960;22940367,8;20553510,46;22467244,74;22453824,17;22805063,35;22209411,35;23185988,46;23814236,04;24021745,26;24057967,89;22716210,9;23953742,45;275179312,9;23851326,5;21708054,7;23940018,45;23443525;24175392,5;24041468,85;24814758,15;24454662,93;23752352,43;24476404,61;24157866,81;26141979,7;288957810,6;26653899,67;24323749,9;25629795,94;24419629,55;23920345,95;22406617,42;22802584,82;22149456,22;21648706,26;22761297,14;21992742,42;23123500,91;281832326,2;22775803,08;20194661,07;22890241,29;23353696,76;24235088,83;23341927,25;23714541,8;23521034,24;22510513,03;22970073,93;22120338,36;23206979,55;274834899,2
