POZO,TOPE FM,Depth (feet),Depth [TVD],Depth [TVDSS],Depth [X Absolute],Depth [Y Absolute],colors,Depth (mt),top_Depth (mt),lon,lat
BERL-2,YNC_Real_Enrejado,870.0,870.0,-620.0,1022863.313,1279619.735,#FFFF00,265.176,0.0,-73.87053618203198,7.124680867942844
BERL-2,YNC_Real_Hiel,1354.0,1354.0,-1104.0,1022863.313,1279619.735,#FFFF00,412.6992,265.176,-73.87053618203198,7.124680867942844
BERL-2,YNC_Real_Chontorales,1712.0,1712.0,-1462.0,1022863.313,1279619.735,#FFFF00,521.8176,412.6992,-73.87053618203198,7.124680867942844
BERL-2,YNC_Real_Lluvia,2488.9,2488.9,-2238.9,1022863.313,1279619.735,#FFFF00,758.6167200000001,521.8176,-73.87053618203198,7.124680867942844
BERL-2,YNC-FM_COLORADO,2742.0,2742.0,-2492.0,1022863.313,1279619.735,#FEE6AA,835.7616,758.6167200000001,-73.87053618203198,7.124680867942844
BERL-2,YNC-LA_CIRA_SHALE,2742.0,2742.0,-2492.0,1022863.313,1279619.735,#FFE619,835.7616,835.7616,-73.87053618203198,7.124680867942844
BERL-2,YNC-BASE_LA_CIRA_SHALE,2927.0,2927.0,-2677.0,1022863.313,1279619.735,#FFE619,892.1496000000001,835.7616,-73.87053618203198,7.124680867942844
BERL-2,YNC-FM_MUGROSA,4999.0,4999.0,-4749.0,1022863.313,1279619.735,#FED99A,1523.6952,892.1496000000001,-73.87053618203198,7.124680867942844
BERL-2,YNC-BASE_HORIZONTE_FOSILIFERO_DE_MUGROSA,5072.0,5072.0,-4822.0,1022863.313,1279619.735,#FED99A,1545.9456,1523.6952,-73.87053618203198,7.124680867942844
BERL-2,YNC-FM_ESMERALDA-LA_PAZ,6962.0,6962.0,-6712.0,1022863.313,1279619.735,#FDCDA1,2122.0176,1545.9456,-73.87053618203198,7.124680867942844
BERL-2,YNC-DISCORDANCIA_DEL_EOCENO,7343.0,7343.0,-7093.0,1022863.313,1279619.735,#FDA75F,2238.1464,2122.0176,-73.87053618203198,7.124680867942844
BERL-2,YNC-FM_UMIR,7343.0,7343.0,-7093.0,1022863.313,1279619.735,#F2FA8C,2238.1464,2238.1464,-73.87053618203198,7.124680867942844
BERL-2,YNC-TD,7384.0,7384.0,-7134.0,1022863.313,1279619.735,#7c538f,2250.6432,2238.1464,-73.87053618203198,7.124680867942844
BOSQUES-1,YNC_Real_Bagre,1034.0,1034.0,-685.0,1034433.057,1300874.149,#FFFF00,315.1632,0.0,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC_Real_Enrejado,2003.0,2003.0,-1654.0,1034433.057,1300874.149,#FFFF00,610.5144,315.1632,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC_Real_Hiel,2975.0,2975.0,-2626.0,1034433.057,1300874.149,#FFFF00,906.78,610.5144,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC_Real_Chontorales,3436.0,3436.0,-3087.0,1034433.057,1300874.149,#FFFF00,1047.2928,906.78,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC_Real_Lluvia,4137.0,4137.0,-3788.0,1034433.057,1300874.149,#FFFF00,1260.9576,1047.2928,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_COLORADO,4509.0,4509.0,-4160.0,1034433.057,1300874.149,#FEE6AA,1374.3432,1260.9576,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-LA_CIRA_SHALE,4509.0,4509.0,-4160.0,1034433.057,1300874.149,#FFE619,1374.3432,1374.3432,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-BASE_LA_CIRA_SHALE,4749.0,4749.0,-4400.0,1034433.057,1300874.149,#FFE619,1447.4952,1374.3432,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_MUGROSA,7416.0,7416.0,-7067.0,1034433.057,1300874.149,#FED99A,2260.3968,1447.4952,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-HORIZONTE_FOSILIFERO_DE_MUGROSA,7416.0,7416.0,-7067.0,1034433.057,1300874.149,#FED99A,2260.3968,2260.3968,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-BASE_HORIZONTE_FOSILIFERO_DE_MUGROSA,7451.0,7451.0,-7102.0,1034433.057,1300874.149,#FED99A,2271.0648,2260.3968,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_ESMERALDA-LA_PAZ,9500.0,9500.0,-9151.0,1034433.057,1300874.149,#FDCDA1,2895.6000000000004,2271.0648,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-DISCORDANCIA_DEL_EOCENO,9914.0,9914.0,-9565.0,1034433.057,1300874.149,#FDA75F,3021.7872,2895.6000000000004,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_SIMITI,9914.0,9914.0,-9565.0,1034433.057,1300874.149,#B3DE53,3021.7872,3021.7872,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_TABLAZO,11391.0,11391.0,-11042.0,1034433.057,1300874.149,#CCEA97,3471.9768000000004,3021.7872,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_PAJA,11847.0,11847.0,-11498.0,1034433.057,1300874.149,#BFE48A,3610.9656,3471.9768000000004,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_ROSABLANCA,12239.0,12239.0,-11890.0,1034433.057,1300874.149,#BFE48A,3730.4472,3610.9656,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-FM_SANTOS,12684.0,12684.0,-12335.0,1034433.057,1300874.149,#BFE48A,3866.0832,3730.4472,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-JURASICO,12790.0,12790.0,-12441.0,1034433.057,1300874.149,#34B2C9,3898.392,3866.0832,-73.76566952289795,7.31680721102583
BOSQUES-1,YNC-TD,12880.0,12880.0,-12531.0,1034433.057,1300874.149,#7c538f,3925.824,3898.392,-73.76566952289795,7.31680721102583
BOSQUES-2,YNC_Real_Bagre,1200.2,1200.2,-946.7,1037732.175,1304999.213,#FFFF00,365.82096,0.0,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC_Real_Enrejado,2149.2,2149.2,-1895.7,1037732.175,1304999.213,#FFFF00,655.07616,365.82096,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC_Real_Hiel,3573.1,3573.1,-3319.6,1037732.175,1304999.213,#FFFF00,1089.08088,655.07616,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC_Real_Chontorales,3952.3,3952.3,-3698.8,1037732.175,1304999.213,#FFFF00,1204.6610400000002,1089.08088,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC_Real_Lluvia,4539.6,4539.6,-4286.1,1037732.175,1304999.213,#FFFF00,1383.67008,1204.6610400000002,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-FM_COLORADO,4889.0,4889.0,-4635.5,1037732.175,1304999.213,#FEE6AA,1490.1672,1383.67008,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-LA_CIRA_SHALE,4889.0,4889.0,-4635.5,1037732.175,1304999.213,#FFE619,1490.1672,1490.1672,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-BASE_LA_CIRA_SHALE,5122.9,5122.9,-4869.4,1037732.175,1304999.213,#FFE619,1561.45992,1490.1672,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-FM_MUGROSA,7170.0,7170.0,-6916.5,1037732.175,1304999.213,#FED99A,2185.416,1561.45992,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-HORIZONTE_FOSILIFERO_DE_MUGROSA,7170.0,7170.0,-6916.5,1037732.175,1304999.213,#FED99A,2185.416,2185.416,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-BASE_HORIZONTE_FOSILIFERO_DE_MUGROSA,7276.5,7276.5,-7023.0,1037732.175,1304999.213,#FED99A,2217.8772,2185.416,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-FM_ESMERALDA-LA_PAZ,9265.3,9265.3,-9011.8,1037732.175,1304999.213,#FDCDA1,2824.06344,2217.8772,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-DISCORDANCIA_DEL_EOCENO,10026.9,10026.9,-9773.4,1037732.175,1304999.213,#FDA75F,3056.19912,2824.06344,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-FM_SIMITI,10026.9,10026.9,-9773.4,1037732.175,1304999.213,#B3DE53,3056.19912,3056.19912,-73.73576339688348,7.354084588475391
BOSQUES-2,YNC-TD,10518.0,10518.0,-10264.5,1037732.175,1304999.213,#7c538f,3205.8864000000003,3056.19912,-73.73576339688348,7.354084588475391
BOSQUES-3,YNC_Real_Bagre,1278.0,1278.0,-905.0,1035145.183,1300381.203,#FFFF00,389.5344,0.0,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC_Real_Enrejado,2222.0,2222.0,-1849.0,1035145.183,1300381.203,#FFFF00,677.2656000000001,389.5344,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC_Real_Hiel,3113.0,3113.0,-2740.0,1035145.183,1300381.203,#FFFF00,948.8424,677.2656000000001,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC_Real_Chontorales,3550.0,3550.0,-3177.0,1035145.183,1300381.203,#FFFF00,1082.04,948.8424,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC_Real_Lluvia,4367.0,4367.0,-3994.0,1035145.183,1300381.203,#FFFF00,1331.0616,1082.04,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-FM_COLORADO,4721.0,4721.0,-4348.0,1035145.183,1300381.203,#FEE6AA,1438.9608,1331.0616,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-LA_CIRA_SHALE,4721.0,4721.0,-4348.0,1035145.183,1300381.203,#FFE619,1438.9608,1438.9608,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-BASE_LA_CIRA_SHALE,4987.0,4987.0,-4614.0,1035145.183,1300381.203,#FFE619,1520.0376,1438.9608,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-FM_MUGROSA,7695.0,7695.0,-7322.0,1035145.183,1300381.203,#FED99A,2345.436,1520.0376,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-HORIZONTE_FOSILIFERO_DE_MUGROSA,7695.0,7695.0,-7322.0,1035145.183,1300381.203,#FED99A,2345.436,2345.436,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-BASE_HORIZONTE_FOSILIFERO_DE_MUGROSA,7751.0,7751.0,-7378.0,1035145.183,1300381.203,#FED99A,2362.5048,2345.436,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-FM_ESMERALDA-LA_PAZ,9753.0,9753.0,-9380.0,1035145.183,1300381.203,#FDCDA1,2972.7144000000003,2362.5048,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-DISCORDANCIA_DEL_EOCENO,10140.0,10140.0,-9767.0,1035145.183,1300381.203,#FDA75F,3090.672,2972.7144000000003,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-FM_SIMITI,10140.0,10140.0,-9767.0,1035145.183,1300381.203,#B3DE53,3090.672,3090.672,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-FM_TABLAZO,10520.0,10520.0,-10147.0,1035145.183,1300381.203,#CCEA97,3206.496,3090.672,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-FM_PAJA,10885.0,10885.0,-10512.0,1035145.183,1300381.203,#BFE48A,3317.748,3206.496,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-FM_ROSABLANCA,11254.0,11254.0,-10881.0,1035145.183,1300381.203,#BFE48A,3430.2192,3317.748,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-FM_SANTOS,11679.0,11679.0,-11306.0,1035145.183,1300381.203,#BFE48A,3559.7592,3430.2192,-73.75922347322464,7.312345443266033
BOSQUES-3,YNC-TD,12017.0,12017.0,-11644.0,1035145.183,1300381.203,#7c538f,3662.7816,3559.7592,-73.75922347322464,7.312345443266033
CANT-14,YNC_Real_Enrejado,202.0,202.0,23.2,1016195.84,1304530.34,#FFFF00,61.5696,0.0,-73.93082105186818,7.349951201580654
CANT-14,YNC_Real_Hiel,680.0,680.0,-454.8,1016195.84,1304530.34,#FFFF00,207.264,61.5696,-73.93082105186818,7.349951201580654
CANT-14,YNC_Real_Chontorales,1040.0,1040.0,-814.8,1016195.84,1304530.34,#FFFF00,316.992,207.264,-73.93082105186818,7.349951201580654
CANT-14,YNC_Real_Lluvia,1381.0,1381.0,-1155.8,1016195.84,1304530.34,#FFFF00,420.9288,316.992,-73.93082105186818,7.349951201580654
CANT-14,YNC-FM_COLORADO,1878.0,1878.0,-1652.8,1016195.84,1304530.34,#FEE6AA,572.4144,420.9288,-73.93082105186818,7.349951201580654
CANT-14,YNC-LA_CIRA_SHALE,1878.0,1878.0,-1652.8,1016195.84,1304530.34,#FFE619,572.4144,572.4144,-73.93082105186818,7.349951201580654
CANT-14,YNC-BASE_LA_CIRA_SHALE,2022.0,2022.0,-1796.8,1016195.84,1304530.34,#FFE619,616.3056,572.4144,-73.93082105186818,7.349951201580654
CANT-14,YNC-FM_MUGROSA,3823.0,3823.0,-3597.8,1016195.84,1304530.34,#FED99A,1165.2504,616.3056,-73.93082105186818,7.349951201580654
CANT-14,YNC-FM_ESMERALDA-LA_PAZ,5469.0,5469.0,-5243.8,1016195.84,1304530.34,#FDCDA1,1666.9512,1165.2504,-73.93082105186818,7.349951201580654
CANT-14,YNC-DISCORDANCIA_DEL_EOCENO,6154.0,6154.0,-5928.8,1016195.84,1304530.34,#FDA75F,1875.7392,1666.9512,-73.93082105186818,7.349951201580654
CANT-14,YNC-FM_LID_SUP,6154.0,6154.0,-5928.8,1016195.84,1304530.34,#CCE968,1875.7392,1875.7392,-73.93082105186818,7.349951201580654
CANT-14,YNC-FM_SH_MEDIO,6500.0,6500.0,-6274.8,1016195.84,1304530.34,#CCE968,1981.2,1875.7392,-73.93082105186818,7.349951201580654
CANT-14,YNC-FM_LID_INF,6798.0,6798.0,-6572.8,1016195.84,1304530.34,#CCE968,2072.0304,1981.2,-73.93082105186818,7.349951201580654
CANT-14,YNC-MB_GALEMBO,6948.0,6948.0,-6722.8,1016195.84,1304530.34,#E6F47F,2117.7504,2072.0304,-73.93082105186818,7.349951201580654
CANT-14,YNC-MB_PUJAMANA,7263.0,7263.0,-7037.8,1016195.84,1304530.34,#CCE968,2213.7624,2117.7504,-73.93082105186818,7.349951201580654
CANT-14,YNC-MB_SALADA,7774.0,7774.0,-7548.8,1016195.84,1304530.34,#BFE35D,2369.5152000000003,2213.7624,-73.93082105186818,7.349951201580654
CANT-14,YNC-TD,8284.0,8284.0,-8058.8,1016195.84,1304530.34,#7c538f,2524.9632,2369.5152000000003,-73.93082105186818,7.349951201580654
COCUYO-1ST1,YNC_Real_Bagre,918.0,917.9,-676.9,1024687.288,1309888.51,#FFFF00,279.8064,0.0,-73.85388942968456,7.398368728940025
COCUYO-1ST1,YNC_Real_Enrejado,1671.0,1670.9,-1429.9,1024689.465,1309889.461,#FFFF00,509.3208,279.8064,-73.85386970610043,7.398377318102575
COCUYO-1ST1,YNC_Real_Hiel,2532.0,2531.8,-2290.8,1024692.854,1309890.998,#FFFF00,771.7536,509.3208,-73.85383900155728,7.398391200437596
COCUYO-1ST1,YNC_Real_Chontorales,2889.0,2888.8,-2647.8,1024693.911,1309891.375,#FFFF00,880.5672000000001,771.7536,-73.8538294255397,7.398394604512229
COCUYO-1ST1,YNC_Real_Lluvia,3327.0,3324.8,-3083.8,1024685.451,1309886.777,#FFFF00,1014.0696,880.5672000000001,-73.85390607710939,7.398353067294019
COCUYO-1ST1,YNC-FM_COLORADO,3800.0,3776.4,-3535.4,1024648.413,1309866.888,#FEE6AA,1158.24,1014.0696,-73.85424165750739,7.398173396740866
COCUYO-1ST1,YNC-LA_CIRA_SHALE,3800.0,3776.4,-3535.4,1024648.413,1309866.888,#FFE619,1158.24,1158.24,-73.85424165750739,7.398173396740866
COCUYO-1ST1,YNC-BASE_LA_CIRA_SHALE,3998.0,3955.4,-3714.4,1024625.495,1309855.221,#FFE619,1218.5904,1158.24,-73.85444930152272,7.3980680062551105
COCUYO-1ST1,YNC-FM_MUGROSA,6334.0,5987.1,-5746.1,1024321.862,1309682.209,#FED99A,1930.6032,1218.5904,-73.85720038196852,7.396504978402326
COCUYO-1ST1,YNC-HORIZONTE_FOSILIFERO_DE_MUGROSA,6334.0,5987.1,-5746.1,1024321.862,1309682.209,#FED99A,1930.6032,1930.6032,-73.85720038196852,7.396504978402326
COCUYO-1ST1,YNC-BASE_HORIZONTE_FOSILIFERO_DE_MUGROSA,6382.0,6032.0,-5791.0,1024317.186,1309679.978,#FED99A,1945.2336,1930.6032,-73.85724274698511,7.3964848263540235
COCUYO-1ST1,YNC-FM_ESMERALDA-LA_PAZ,8806.0,8410.9,-8169.9,1024203.967,1309620.016,#FDCDA1,2684.0688,1945.2336,-73.8582685475522,7.3959431480315
COCUYO-1ST1,YNC-DISCORDANCIA_DEL_EOCENO,10162.0,9764.2,-9523.2,1024180.398,1309610.119,#FDA75F,3097.3776000000003,2684.0688,-73.85848207844342,7.395853763055784
COCUYO-1ST1,YNC-FM_UMIR,10162.0,9764.2,-9523.2,1024180.398,1309610.119,#F2FA8C,3097.3776000000003,3097.3776000000003,-73.85848207844342,7.395853763055784
COCUYO-1ST1,YNC-FM_LID_SUP,10717.0,10318.7,-10077.7,1024175.324,1309608.698,#CCE968,3266.5416,3097.3776000000003,-73.8585280447954,7.395840936772191
COCUYO-1ST1,YNC-FM_SH_MEDIO,11133.0,10733.3,-10492.3,1024174.147,1309599.893,#CCE968,3393.3384,3266.5416,-73.85853874523328,7.395761326109496
COCUYO-1ST1,YNC-FM_LID_INF,11525.0,11122.2,-10881.2,1024181.37,1309586.777,#CCE968,3512.82,3393.3384,-73.85847337816259,7.395642697481828
COCUYO-1ST1,YNC-MB_GALEMBO,11670.0,11265.8,-11024.8,1024185.763,1309582.777,#E6F47F,3557.016,3512.82,-73.8584336044557,7.395606509438994
COCUYO-1ST1,YNC-MB_PUJAMANA,11876.0,11469.9,-11228.9,1024192.814,1309577.919,#CCE968,3619.8048,3557.016,-73.85836975857565,7.395562551419142
COCUYO-1ST1,YNC-MB_SALADA,12378.0,11969.7,-11728.7,1024203.588,1309570.242,#BFE35D,3772.8144,3619.8048,-73.8582722025765,7.395493087065002
COCUYO-1ST1,YNC-FM_SIMITI,12811.0,12381.3,-12140.3,1024238.416,1309553.948,#B3DE53,3904.7928,3772.8144,-73.85795680548225,7.395345599488771
COCUYO-1ST1,YNC-TD,12886.8,12451.8,-12210.8,1024245.635,1309549.499,#7c538f,3927.89664,3904.7928,-73.8578914361273,7.395305338881641
FLAMENCOS-1,YNC_Real_Bagre,515.0,515.0,-287.9,1023367.38,1317389.66,#FFFF00,156.972,0.0,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC_Real_Enrejado,1070.0,1070.0,-842.9,1023367.38,1317389.66,#FFFF00,326.136,156.972,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC_Real_Hiel,2010.0,2010.0,-1782.9,1023367.38,1317389.66,#FFFF00,612.648,326.136,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC_Real_Chontorales,2292.0,2292.0,-2064.9,1023367.38,1317389.66,#FFFF00,698.6016000000001,612.648,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC_Real_Lluvia,2734.0,2734.0,-2506.9,1023367.38,1317389.66,#FFFF00,833.3232,698.6016000000001,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC-FM_COLORADO,3042.0,3042.0,-2814.9,1023367.38,1317389.66,#FEE6AA,927.2016,833.3232,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC-LA_CIRA_SHALE,3042.0,3042.0,-2814.9,1023367.38,1317389.66,#FFE619,927.2016,927.2016,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC-BASE_LA_CIRA_SHALE,3214.0,3214.0,-2986.9,1023367.38,1317389.66,#FFE619,979.6272,927.2016,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC-FM_MUGROSA,4841.0,4841.0,-4613.9,1023367.38,1317389.66,#FED99A,1475.5368,979.6272,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC-FM_ESMERALDA-LA_PAZ,6887.0,6887.0,-6659.9,1023367.38,1317389.66,#FDCDA1,2099.1576,1475.5368,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC-DISCORDANCIA_DEL_EOCENO,8357.0,8357.0,-8129.9,1023367.38,1317389.66,#FDA75F,2547.2136,2099.1576,-73.86581268061109,7.466200813731927
FLAMENCOS-1,YNC-FM_LID_SUP,8357.0,8357.0,-8129.9,1023367.38,1317389.66,#CCE968,2547.2136,2547.2136,-73.86581268061109,7.466200813731927
GALA-1,YNC_Real_Bagre,68.0,68.0,226.0,1023966.165,1279853.49,#FFFF00,20.7264,0.0,-73.86055159110616,7.126789959232361
GALA-1,YNC_Real_Enrejado,505.0,505.0,-211.0,1023966.165,1279853.49,#FFFF00,153.924,20.7264,-73.86055159110616,7.126789959232361
GALA-1,YNC_Real_Hiel,979.0,979.0,-685.0,1023966.165,1279853.49,#FFFF00,298.3992,153.924,-73.86055159110616,7.126789959232361
GALA-1,YNC_Real_Chontorales,1472.0,1472.0,-1178.0,1023966.165,1279853.49,#FFFF00,448.6656,298.3992,-73.86055159110616,7.126789959232361
GALA-1,YNC_Real_Lluvia,2437.0,2437.0,-2143.0,1023966.165,1279853.49,#FFFF00,742.7976,448.6656,-73.86055159110616,7.126789959232361
GALA-1,YNC-FM_COLORADO,2556.0,2556.0,-2262.0,1023966.165,1279853.49,#FEE6AA,779.0688,742.7976,-73.86055159110616,7.126789959232361
